1. What is your age group?,2.  What is your Occupation?,"3. What are your hobbies? 
(Choose more than one if needed)",4. How do you use your car most of the time?,"5. On average, how far do you drive each day?",6. How much would you spend on a car suitable for your needs?,7. How many seats does you need?,8. Which type of fuel would fit your lifestyle and driving habits?,"9. If you were to purchase a car today, which option would you choose?","10. Main reasons for your choice.
(Please select up to two)","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Price]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Fuel & Efficiency]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Space & Practicality]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Performance]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Design]","Are you willing to participate in a short (5-minute) in-person session to review your AI-generated car recommendations?
(This is optional and only for evaluation purposes.)"
25–39,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,No preference,(1)MG 3 Hybrid+  D,Space & Practicality,1,2,3,4,5,No
18–24,Student,Relaxed & Minimalist Lifestyle,City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,No preference,(1)MG 3 Hybrid+  D,"Performance, Design",3,2,1,4,5,No
18–24,Student,Relaxed & Minimalist Lifestyle,City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,No preference,(1)MG 3 Hybrid+  D,"Fuel & Efficiency, Space & Practicality",4,1,2,3,5,Yes
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Short distance (0–30 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,"Price, Fuel & Efficiency, Space & Practicality",1,4,3,2,5,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,EV,(1)MG 3 Hybrid+  D,Price,2,4,1,3,5,No
18–24,Student,"City Life & Socializing, Relaxed & Minimalist Lifestyle",Eco-conscious lifestyle,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(2) MG S5 EV PLUS D+,"Price, Fuel & Efficiency, Space & Practicality, Performance, Design",3,4,2,1,5,Yes
18–24,Student,"Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,No preference,(4) MG ES,Performance,1,3,2,4,5,No
18–24,Student,City Life & Socializing,Highway / Long-distance,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,Petrol/Diesel,(4) MG ES,Design,3,2,4,1,5,No
18–24,Student,Relaxed & Minimalist Lifestyle,Highway / Long-distance,Short distance (0–30 km),"Below 700,000 THB",2 seats,EV,(3) MG VS HEV X,Performance,4,3,2,1,5,No
18–24,Student,Relaxed & Minimalist Lifestyle,City commuting,Short distance (0–30 km),"1,300,000 THB and above",3 - 5 seats,Petrol/Diesel,(4) MG ES,Design,1,2,3,4,5,No
18–24,Student,Relaxed & Minimalist Lifestyle,City commuting,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,Petrol/Diesel,(1)MG 3 Hybrid+  D,Price,1,2,3,4,5,No
18–24,Student,Relaxed & Minimalist Lifestyle,City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,EV,(4) MG ES,"Space & Practicality, Design",1,2,3,4,5,No
18–24,Student,"Adventure & Travel, Outdoor Sports & Fitness",Highway / Long-distance,Very long distance (Over 150 km),"700,000 – 999,999 THB",5+ seats,No preference,(5) MG HS D,"Space & Practicality, Design",5,2,4,3,1,Yes
18–24,Student,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle",Highway / Long-distance,Long commute (80–150 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(3) MG VS HEV X,"Price, Fuel & Efficiency, Space & Practicality, Performance, Design",1,2,4,3,5,Yes
18–24,Working Professional,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",Highway / Long-distance,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,EV,(3) MG VS HEV X,Price,2,3,5,1,4,No
18–24,Student,"City Life & Socializing, Adventure & Travel",City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,"Price, Performance",1,2,3,4,5,Yes
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Short distance (0–30 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,"Fuel & Efficiency, Space & Practicality",3,1,4,5,2,Yes
18–24,Working Professional,"City Life & Socializing, Outdoor Sports & Fitness",City commuting,Short distance (0–30 km),"1,000,000 – 1,299,999 THB",3 - 5 seats,Petrol/Diesel,(4) MG ES,Space & Practicality,2,3,4,1,5,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,No preference,(4) MG ES,"Price, Space & Practicality, Performance, Design",4,5,3,1,2,Yes
18–24,Student,"Adventure & Travel, Outdoor Sports & Fitness",Highway / Long-distance,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,Petrol/Diesel,(2) MG S5 EV PLUS D+,"Price, Fuel & Efficiency",3,2,4,5,1,No
25–39,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",Highway / Long-distance,Medium commute (30–80 km),"1,000,000 – 1,299,999 THB",3 - 5 seats,EV,(4) MG ES,"Space & Practicality, Design",1,2,5,3,4,Yes
25–39,Student,Relaxed & Minimalist Lifestyle,City commuting,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(4) MG ES,"Price, Fuel & Efficiency, Space & Practicality",1,4,5,3,2,No
18–24,Student,Outdoor Sports & Fitness,City commuting,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,Price,2,3,4,5,1,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Long commute (80–150 km),"1,000,000 – 1,299,999 THB",3 - 5 seats,Hybrid,(4) MG ES,"Price, Space & Practicality, Performance",4,5,3,2,1,Yes
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",Highway / Long-distance,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,EV,(3) MG VS HEV X,Space & Practicality,1,2,3,4,5,Yes
18–24,Student,Outdoor Sports & Fitness,City commuting,Very long distance (Over 150 km),"700,000 – 999,999 THB",3 - 5 seats,No preference,(5) MG HS D,"Performance, Design",5,4,3,2,1,No
25–39,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",Highway / Long-distance,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(3) MG VS HEV X,"Price, Fuel & Efficiency, Design",3,2,4,5,1,No
18–24,Student,Adventure & Travel,Highway / Long-distance,Medium commute (30–80 km),"Below 700,000 THB",2 seats,Hybrid,(3) MG VS HEV X,Space & Practicality,1,2,3,4,5,Yes
18–24,Student,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,No preference,(3) MG VS HEV X,"Performance, Design",1,2,3,4,5,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Medium commute (30–80 km),"1,000,000 – 1,299,999 THB",3 - 5 seats,No preference,(1)MG 3 Hybrid+  D,"Price, Space & Practicality, Performance",1,5,3,4,2,No
18–24,Student,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Medium commute (30–80 km),"1,300,000 THB and above",3 - 5 seats,Hybrid,(3) MG VS HEV X,"Price, Fuel & Efficiency, Space & Practicality, Performance, Design",5,2,3,4,1,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",Highway / Long-distance,Short distance (0–30 km),"Below 700,000 THB",2 seats,No preference,(1)MG 3 Hybrid+  D,"Price, Performance",2,3,4,1,5,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,"Fuel & Efficiency, Performance",5,4,3,1,2,No
18–24,Student,"City Life & Socializing, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,Petrol/Diesel,(1)MG 3 Hybrid+  D,Price,5,4,3,2,1,No
18–24,Student,"City Life & Socializing, Outdoor Sports & Fitness",City commuting,Short distance (0–30 km),"700,000 – 999,999 THB",3 - 5 seats,EV,(1)MG 3 Hybrid+  D,"Price, Space & Practicality, Design",2,3,5,1,4,
18–24,Student,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Short distance (0–30 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(2) MG S5 EV PLUS D+,Design,5,2,3,1,4,
40–54,Working Professional,Adventure & Travel,City commuting,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,EV,(2) MG S5 EV PLUS D+,"Fuel & Efficiency, Performance",3,1,2,4,5,Yes
55+,Business Owner,Adventure & Travel,Eco-conscious lifestyle,Medium commute (30–80 km),"1,000,000 – 1,299,999 THB",3 - 5 seats,EV,(4) MG ES,"Performance, Design",2,3,4,1,5,
18–24,Student,"Adventure & Travel, Outdoor Sports & Fitness",City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(3) MG VS HEV X,Price,1,2,3,4,5,No
18–24,Student,Adventure & Travel,City commuting,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(4) MG ES,"Price, Performance",3,2,4,5,1,Yes
40–54,Working Professional,"City Life & Socializing, Relaxed & Minimalist Lifestyle",City commuting,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,"Price, Space & Practicality",1,2,3,4,5,Yes
18–24,Student,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Short distance (0–30 km),"Below 700,000 THB",5+ seats,Hybrid,(2) MG S5 EV PLUS D+,"Price, Fuel & Efficiency, Performance, Design",5,2,1,4,3,Yes
25–39,Working Professional,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle",City commuting,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(3) MG VS HEV X,"Price, Fuel & Efficiency, Space & Practicality, Design",4,5,3,2,1,No
